title,price,link
"Lenovo IdeaPad 5 Intel Core i5-1235U 16GB Soldered DDR4-3200 512GB SSD 15.6"" FHD (1920x1080) IPS NVIDIA® GeForce MX550 2GB GDDR6 Backlit, English (UK) Storm Grey Dos (1 Year Warranty)","Rs. 190,999",//www.daraz.pk/products/lenovo-ideapad-5-intel-core-i5-1235u-16gb-soldered-ddr4-3200-512gb-ssd-156-fhd-1920x1080-ips-nvidia-geforce-mx550-2gb-gddr6-backlit-english-uk-storm-grey-dos-1-year-warranty-i436315764.html
HP 15S-FD0110TU Core i7-1355U 16GB DDR4 512GB PCIe Value Intel Iris Xe 15.6 FHD Antiglare slim IPS 250 nits Narrow Border  Windows 11 Home Natural Silver   (1 Year Warranty),"Rs. 236,499",//www.daraz.pk/products/hp-15s-fd0110tu-core-i7-1355u-16gb-ddr4-512gb-pcie-value-intel-iris-xe-156-fhd-antiglare-slim-ips-250-nits-narrow-border-windows-11-home-natural-silver-1-year-warranty-i421919543.html
"Like New Laptops Apple MacBook Pro 2011 A1278 Display 13-inch Laptop (Intel i5 2.5 GHz, 8 GB RAM, 256GB SSD, Intel HD, macOS High Sierra - Silver","Rs. 58,000",//www.daraz.pk/products/like-new-laptops-apple-macbook-pro-2011-a1278-display-13-inch-laptop-intel-i5-25-ghz-8-gb-ram-256gb-ssd-intel-hd-macos-high-sierra-silver-i471512588.html
"Lenovo ThinkPad T470 Laptop - Core I5 6th Generation - 8GB DDR4 RAM - 256GB NVME SSD - 14"" Display - WINDOWS 10 - RENEWED","Rs. 45,500",//www.daraz.pk/products/lenovo-thinkpad-t470-laptop-core-i5-6th-generation-8gb-ddr4-ram-256gb-nvme-ssd-14-display-windows-10-renewed-i430087965.html
Lenovo N23 Chromebook - 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported -,"Rs. 12,999",//www.daraz.pk/products/lenovo-n23-chromebook-116-4-gb-ram-16-gb-rom-with-play-store-pubg-supported-i471877955.html
"Like New Laptops Lenovo ThinkPad E560 15.6 inch High Performance Business laptop, 128GB SSD, Intel Core i5 (7th Gen) 2.50 GHz, 8 GB DDR3L, DVD RW, WiFi, HDMI/VGA, Gigabit LAN, fingerprint reader, Windows 10 Pro 64-bit","Rs. 51,999",//www.daraz.pk/products/like-new-laptops-lenovo-thinkpad-e560-156-inch-high-performance-business-laptop-128gb-ssd-intel-core-i5-7th-gen-250-ghz-8-gb-ddr3l-dvd-rw-wifi-hdmivga-gigabit-lan-fingerprint-reader-windows-10-pro-64-bit-i468056695.html
"HP Victus 15-FB1013DX Gaming Laptop AMD Ryzen 5 7535HS, 8GB DDR5, 512GB SSD, NVIDIA RTX 2050 4GB Graphics, 15.6"" FHD IPS 144Hz, Windows 11 Home, Mica Silver","Rs. 229,999",//www.daraz.pk/products/hp-15-fb1013dx-amd-5-7535hs-8gb-ddr5-512gb-ssd-nvidia-rtx-2050-gb-fhd-ips-156-hz-11-i438400006.html
"Lenovo ThinkPad T440 i5-4300U Notebook 35.6 cm (14"") Intel® Core™ i5 8 GB DDR3L-SDRAM 128 GB SSDBlack","Rs. 35,500",//www.daraz.pk/products/lenovo-thinkpad-t440-i5-4300u-notebook-356-cm-14-intel-core-i5-8-gb-ddr3l-sdram-128-gb-ssdblack-i406716125.html
"Dell Latitude 3180 HD Laptop Notebook Educational PC (Intel Pentium N4200 Quad Core, 4GB Ram, 128GB Solid State SSD, Camera, HDMI, WiFi, Bluetooth) Windows 10","Rs. 21,999",//www.daraz.pk/products/dell-latitude-3180-hd-laptop-notebook-educational-pc-intel-pentium-n4200-quad-core-4gb-ram-128gb-solid-state-ssd-camera-hdmi-wifi-bluetooth-windows-10-i471519369.html
Acer C731  Chromebook Laptop - 4GB RAM - 16GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life,"Rs. 15,500",//www.daraz.pk/products/acer-c731-chromebook-laptop-4gb-ram-16gb-rom-playstore-supported-116-inch-display-long-battery-life-i398674383.html
Lenovo N21 Chromebook – 11.6″ – 4 GB RAM / 16 GB ROM - Long Battery Life,"Rs. 13,500",//www.daraz.pk/products/n21-116-4-gb-16-gb-i369539666.html
"HP EliteBook 840 G6 Notebook PC Intel Core i5 8th Generation, 8GB DDR4 Ram, 256GB SSD Drive, 14.1"" Led Display, Intel FHD Graphics Card 1 Ratings21 Answered Questions","Rs. 74,999",//www.daraz.pk/products/hp-840-g6-i5-8th-8gb-ddr4-1-gb-ssd-led-fhd-1-ratngs21-i539456233.html
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"Rs. 11,980",//www.daraz.pk/products/n22-116-4-gb-16-gb-pubg-i261648198.html
"DELL Latitude E5450 i5-5300U Notebook 35.6 cm (14"") HD Intel® Core™ i5 4 GB DDR3L-SDRAM 500 GB HDD Windows 7 Professional Black","Rs. 36,999",//www.daraz.pk/products/dell-latitude-e5450-i5-5300u-notebook-356-cm-14-hd-intel-core-i5-4-gb-ddr3l-sdram-500-gb-hdd-windows-7-professional-black-i406654540.html
Lenovo N22 Chromebook  – 4 GB RAM – 16 GB ROM – With Play Store - Long Battery Life,"Rs. 11,500",//www.daraz.pk/products/lenovo-n22-chromebook-4-gb-ram-16-gb-rom-with-play-store-long-battery-life-i406218606.html
